State,Constituency,CDU Cons,CDU List,SPD Cons,SPD List,Die Linke Cons,Die Linke List,Grüne Cons,Grüne List,CSU Cons,CSU List
Nordrhein-Westfalen,144,52433,46794,68287,60019,7749,9127,8242,11567,0,0
Nordrhein-Westfalen,145,64871,60984,71174,63646,9277,10399,8250,9990,0,0
Nordrhein-Westfalen,146,82394,74380,55127,50439,8267,8721,9868,11565,0,0
Nordrhein-Westfalen,147,83952,74530,44682,42054,6159,7055,6308,7161,0,0
Nordrhein-Westfalen,148,70833,64307,56510,49563,6891,8920,7808,9937,0,0
Nordrhein-Westfalen,149,76911,71437,48711,42002,5635,7113,5132,7726,0,0
Nordrhein-Westfalen,150,59768,59536,59821,46318,6926,8463,4498,7971,0,0
Hessen,167,55444,49063,55217,48420,7253,7356,8486,10872,0,0
Hessen,168,54674,48361,62178,53232,13066,13680,16559,19884,0,0
Hessen,169,51386,45872,54630,46913,7277,7584,6333,8868,0,0
Hessen,170,54162,48747,57944,50052,6890,7442,7884,10498,0,0
Hessen,171,50683,46993,55982,42749,6746,8720,7595,13443,0,0
Hessen,172,68666,59760,49213,43406,6603,7433,8647,10600,0,0
Hessen,173,67587,59062,54028,45299,7802,9928,11186,14759,0,0
Hessen,174,87263,76778,37352,33218,6869,6900,8125,10058,0,0
Hessen,175,61911,52305,41061,35313,6739,6934,6815,9720,0,0
Hessen,176,66785,58822,38435,33846,5482,6358,10064,12690,0,0
Hessen,177,60118,52419,40805,34937,6174,6615,9497,11991,0,0
Hessen,178,84489,73599,47152,40718,6300,7290,9119,13955,0,0
Hessen,179,56466,50187,45311,36041,6097,7668,9784,15133,0,0
Hessen,180,54920,48828,45184,35650,7069,7630,7217,11183,0,0
Hessen,181,79353,66598,40927,34156,6355,6406,12453,15057,0,0
Hessen,182,52427,43883,43124,35106,10280,11684,12875,17398,0,0
Hessen,183,57004,53198,47854,41360,9547,12778,21184,24165,0,0
Hessen,184,52087,45389,46942,37781,7645,7693,9502,13129,0,0
Hessen,185,69930,59905,47984,40203,9479,10205,12548,16503,0,0
Hessen,186,63397,61677,65820,50416,9111,11866,20704,25149,0,0
Hessen,187,80323,70211,57586,48252,8621,9459,11854,15560,0,0
Hessen,188,70131,61337,46099,39838,5730,7025,8222,12520,0,0
Rheinland-Pfalz,198,79785,78005,63453,48866,7655,8965,6779,10661,0,0
Rheinland-Pfalz,199,77379,68680,39071,34660,6221,6569,7813,9287,0,0
