State,Constituency,CDU Cons,CDU List,SPD Cons,SPD List,Die Linke Cons,Die Linke List,Grüne Cons,Grüne List,CSU Cons,CSU List,FDP Cons,FDP List,AfD Cons,AfD List
Sachsen,164,56716,50759,14707,15452,24808,23090,4334,3661,0,0,11820,12106,49465,47952
Sachsen,165,48347,45106,18219,16131,36881,24665,6513,4327,0,0,19181,11253,0,38964
Sachsen,166,49104,42604,15538,16043,21809,22578,5292,4266,0,0,7836,10154,36428,37217
Hessen,167,47269,42232,49341,43446,8600,9891,8062,9660,0,0,9930,13918,15438,16411
Hessen,168,44425,41736,58759,46769,14472,18677,15466,18935,0,0,9759,15046,16501,17288
Hessen,169,39302,38531,54033,42737,7281,8746,5236,7843,0,0,6594,11096,16411,17173
Hessen,170,43514,41795,53892,44847,7852,9270,8003,9436,0,0,9298,13118,17198,18504
Hessen,171,46888,42377,50214,37202,11557,14420,8989,13088,0,0,6044,12191,14378,16125
Hessen,172,58417,51125,45375,37794,7116,10210,8909,10768,0,0,9590,14821,17874,20931
Hessen,173,57610,49518,46216,39252,10346,13798,13619,15898,0,0,12641,16926,18918,20358
Hessen,174,71946,61811,32150,28745,7669,9266,8874,10593,0,0,8437,17122,27990,25145
Hessen,175,49479,43147,38462,32069,8007,8938,7346,9614,0,0,8326,14144,20172,20927
Hessen,176,57579,48436,33201,28947,8556,9562,12884,14074,0,0,14954,21713,15075,16132
Hessen,177,49891,43951,39773,31152,6719,9249,11368,13002,0,0,11047,17462,14987,15895
Hessen,178,71555,59346,43427,35604,9394,11069,12020,15273,0,0,13053,22650,17439,20399
Hessen,179,47309,40022,39396,29247,10558,13160,12321,16286,0,0,9693,18400,14417,15496
Hessen,180,46656,39126,40185,31150,7715,10006,8054,11345,0,0,8418,15185,16907,18626
Hessen,181,66490,54902,34527,28786,7887,9504,14458,16752,0,0,17224,26571,15319,16395
Hessen,182,43663,37221,38704,29743,13934,17179,15596,19475,0,0,13185,19989,12892,13342
Hessen,183,55221,45731,44240,33511,15523,20059,23026,26415,0,0,13877,24336,13033,13737
Hessen,184,45963,39950,42342,33318,8729,10755,8877,11862,0,0,7358,12645,14805,15943
Hessen,185,58565,49302,40106,34519,12435,14261,14246,16421,0,0,12420,20372,18047,19050
Hessen,186,58216,52218,56442,42638,16146,19508,26939,27317,0,0,11739,20893,17227,18654
Hessen,187,65654,59635,52761,42516,11138,13433,14181,16084,0,0,13139,19948,21347,22258
Hessen,188,59781,51088,41408,34435,8511,10197,11747,13595,0,0,11711,18196,19153,19923
Thüringen,189,59318,52667,22320,21652,23848,22613,3992,4778,0,0,7633,11974,33402,32854
Thüringen,190,55378,48340,24478,23206,24899,25171,5066,5596,0,0,8075,11545,34052,35824
Thüringen,191,44684,42092,21668,19150,32680,28312,7544,9497,0,0,8939,13310,29451,30426
Thüringen,192,42221,40576,27120,20391,22674,22920,4809,5411,0,0,8775,11218,34798,35091
Thüringen,193,45305,42168,30257,23535,30948,32239,11722,12666,0,0,9975,14260,28960,30166
Thüringen,194,52980,47690,20627,19845,32573,30402,3652,4709,0,0,9712,14315,47558,47275
Thüringen,195,52311,47769,19753,20427,28926,28088,5726,5124,0,0,10323,13209,44894,43740
Thüringen,196,56316,50956,22579,22826,30646,28467,4408,5559,0,0,8147,11298,38351,38693
Rheinland-Pfalz,197,76933,68357,50996,45447,9521,11338,9449,10738,0,0,10898,18071,16954,19273
Rheinland-Pfalz,198,64006,60937,40944,34113,6790,8519,8616,10059,0,0,12981,17397,13105,14437
Rheinland-Pfalz,199,61594,56616,42777,35679,7693,10332,9273,11862,0,0,9732,16152,12153,13701
Rheinland-Pfalz,200,58596,55606,33477,30799,7040,8143,6465,7487,0,0,11544,14924,10834,11996
Rheinland-Pfalz,201,50975,47189,43373,37906,7610,9493,6750,8629,0,0,9342,13654,14914,16198
Rheinland-Pfalz,202,63719,55591,32017,27255,6786,7433,0,7710,0,0,8703,12888,8840,10058
Rheinland-Pfalz,203,56611,55882,50283,36950,9842,12934,9645,13512,0,0,7910,13841,10414,11926
Rheinland-Pfalz,204,68727,60594,47312,39906,11098,9576,8225,10058,0,0,14543,17703,0,17826
Rheinland-Pfalz,205,71535,65713,56184,44203,12904,17148,21685,26415,0,0,13813,22608,14542,16535
Rheinland-Pfalz,206,68685,54721,44569,42471,8539,10811,11280,13449,0,0,10058,17543,18902,21978
Rheinland-Pfalz,207,51168,49226,50740,39822,8979,10614,8700,11621,0,0,11910,16321,23109,24641
Rheinland-Pfalz,208,69504,61407,44032,37894,8207,10537,13156,15389,0,0,11734,19251,20593,22070
Rheinland-Pfalz,209,53022,49400,57482,47986,12277,13548,8618,11360,0,0,9256,15519,21378,23206
Rheinland-Pfalz,210,48719,47455,38028,32794,8019,9511,5544,6156,0,0,8846,11803,16989,18652
Rheinland-Pfalz,211,68588,59309,44224,37293,8018,10975,13500,14788,0,0,10209,17560,20932,23191
Bayern,212,0,0,15479,15511,6060,6659,7584,8608,68435,55417,7070,11209,16486,18330
Bayern,213,0,0,24131,19943,6418,8352,16607,17768,78212,63525,11889,19407,16689,19366
Bayern,214,0,0,24916,23029,9265,9506,17439,18036,79545,73650,13400,19308,23222,25178
Bayern,215,0,0,35454,25929,7699,9633,17244,20886,82602,75621,13661,22005,19352,21934
Bayern,216,0,0,24799,24424,8817,9830,11515,13205,90383,76236,9310,17154,23720,27673
Bayern,217,0,0,45068,28903,10351,14302,22726,29334,55811,49953,16669,26241,13216,14982
Bayern,218,0,0,39621,29744,11655,14124,28278,29866,68255,58483,16451,27459,13822,15959
Bayern,219,0,0,39873,27500,12611,14694,23343,29560,55894,50686,15332,22587,12921,14578
Bayern,220,0,0,44283,30617,13569,16638,31385,35605,64014,57322,17369,26356,12852,14895
Bayern,221,0,0,31943,27490,7708,9996,26890,24837,85347,73189,18312,30054,16458,18470
Bayern,222,0,0,21890,20967,7036,9449,17307,18571,84981,75178,13750,20311,23988,25697
Bayern,223,0,0,14792,14457,6922,6486,17786,13605,62465,54786,10702,16343,13025,15391
Bayern,224,0,0,29308,22332,6983,9594,20864,23111,73948,67512,16893,24950,15607,17460
Bayern,225,0,0,25659,18916,7144,8508,12972,14680,80056,71196,9034,14614,16276,19191
Bayern,226,0,0,19722,15402,6229,7214,12066,12753,63784,57254,9370,13909,13383,16145
Bayern,227,0,0,20612,16915,4955,5892,5342,5528,52167,48182,4707,8968,20438,22765
Bayern,228,0,0,25970,25095,6869,9270,12514,13856,75702,75521,16297,19361,24080,28061
Bayern,229,0,0,24611,19709,6246,7357,7248,8393,61835,52937,7900,11918,18328,20967
Bayern,230,0,0,17683,15765,4851,5510,6061,6478,55364,52752,8625,11215,18539,20401
